id,token_name,token_address,network,price_at_alert,score,base_score,momentum_bonus,confidence_score,volume_24h,volume_6h,volume_1h,liquidity,buys_24h,sells_24h,buy_ratio,total_txns,age_hours,created_at
22,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.0310566965464,100,100,10,85,1626766.49043406,61336.2571840537,12742.13570608,1089738.9416,2072,1901,0.0,3973,41.05885864611111,2025-12-17 03:04:20

23,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.09528467216,100,100,10,85,1625921.34174686,55450.5500293969,6950.0840122309,1092591.392,2077,1895,0.0,3972,41.148564408611115,2025-12-17 03:09:43

24,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.1252772065825,100,100,10,85,1626992.7697647,56632.4071541955,6487.8647908784,1095393.2626,2078,1897,0.0,3975,41.238271643611114,2025-12-17 03:15:06

25,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.1117880947514,100,100,10,85,1626997.83239997,56102.9211101574,5462.6946380459,1094899.2499,2080,1896,0.0,3976,41.327958034722215,2025-12-17 03:20:28

26,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.2086438348783,100,100,10,85,1627477.0082422,56279.0868576655,5988.7156800205,1092365.0972,2088,1891,0.0,3979,41.41756792166667,2025-12-17 03:25:52

27,TER / SOL,GJVXjccPbZhPdDnW9LogwfUZf9K5f3eSXcXbr9ufjoR3,solana,0.00011035771442864736,95,65,30,85,148986.375210181,148986.375210181,148986.375210181,205998.8173,152,115,0.0,267,0.02666919111111111,2025-12-17 03:25:54

28,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.1974404325289,100,100,10,85,1627410.43839749,55873.5613766007,5289.2762758514,1095627.8041,2088,1890,0.0,3978,41.50795365444444,2025-12-17 03:31:17

29,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.1559883839382,100,100,10,85,1627845.23414824,57260.7192855547,6520.5142040997,1093049.8769,2082,1888,0.0,3970,41.597587574722226,2025-12-17 03:36:40

30,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.322950553985,100,100,10,85,1627768.84163492,57062.0397912065,6543.6772567635,1096085.5499,2080,1886,0.0,3966,41.68763133555555,2025-12-17 03:42:04

31,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.1616930445241,100,100,10,85,1627941.52418801,57299.7144825363,6707.0990495123,1093487.7841,2078,1887,0.0,3965,41.777317249166664,2025-12-17 03:47:26

32,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.3173066493783,100,100,10,85,1628243.68325347,58360.3368717337,7164.989146312,1098809.7244,2075,1884,0.0,3959,41.86693911166667,2025-12-17 03:52:49

33,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.2905225544297,100,100,10,85,1628543.90598824,58660.5596064997,7465.2118810781,1097051.0628,2079,1887,0.0,3966,41.95655629694445,2025-12-17 03:58:12

34,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.6655574889772,100,100,15,85,1630799.89113529,61133.7639277277,10700.7198222632,1108037.6689,2077,1885,0.0,3962,42.04632467,2025-12-17 04:03:36

35,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.7035864358648,100,100,15,85,1630914.52138883,61107.0002281455,10620.667387437,1108289.0987,2079,1883,0.0,3962,42.136178452777784,2025-12-17 04:08:59

36,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.8048521182568,100,100,15,85,1631674.53253603,61759.889658583,10487.5871787904,1111968.3843,2081,1884,0.0,3965,42.22604395,2025-12-17 04:14:22

37,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.8886818735609,100,100,15,85,1632391.58547588,62226.4525514294,11029.0957408998,1112330.8526,2082,1889,0.0,3971,42.315886677777776,2025-12-17 04:19:45

38,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.8693416158116,100,100,15,85,1634553.13986081,64644.5307297783,13347.0558800937,1109411.1663,2087,1890,0.0,3977,42.405588800000004,2025-12-17 04:25:08

39,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.8968908271945,100,100,15,85,1634568.51477237,64959.997098162,13466.9406520434,1110811.3078,2087,1889,0.0,3976,42.49535909388889,2025-12-17 04:30:33

40,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.6641984514961,100,100,15,85,1635416.06734814,58184.694141986,13019.3103870357,1106553.4856,2087,1896,0.0,3983,42.58557087222223,2025-12-17 04:35:58

41,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.1517432718047,100,95,10,85,1643449.44467317,65332.4145203208,21240.6617830735,1092413.4816,2085,1903,0.0,3988,42.67570385138889,2025-12-17 04:41:22

42,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.1349482991403,100,95,10,85,1643851.35388525,66597.6898630594,22168.4945096772,1095749.702,2084,1904,0.0,3988,42.76572126166667,2025-12-17 04:46:44

43,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.2322930487896,100,95,10,85,1643383.31141125,65511.2109481079,21016.0970031685,1094343.4084,2081,1904,0.0,3985,42.855327795,2025-12-17 04:52:07

44,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.2631671972207,100,100,10,85,1643660.95194449,66010.1625096353,22169.4917591589,1096413.5132,2082,1901,0.0,3983,42.94498858972222,2025-12-17 04:57:31

45,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.4843345390924,100,100,10,85,1647200.39903437,69642.7327612445,25648.6659353599,1103094.1272,2082,1900,0.0,3982,43.034799693888885,2025-12-17 05:02:53

46,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.3693105090456,100,95,10,85,1648546.78520015,70823.9928941143,23292.80961981,1097310.1013,2079,1898,0.0,3977,43.124416358333335,2025-12-17 05:08:15

